"ODD";"INDICATEUR_DEVDUR";"UNIT_MEASURE";"UNIT_MULT";"OBS_STATUS";"GEO";"GEO_OBJECT";"DEVDUR_COMPOSITE";"SEX";"AGE";"EMPSTA";"PCS";"TYPE_INDICATEUR_DEVDUR";"TIME_PERIOD";"OBS_VALUE"
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"_T";"11";"_T";"I_ODD";2015;6.5
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"CONTAMIN_MOD4";"_T";"_T";"_Z";"_Z";"I_ODD";2021;255
"ODD2";"2.i2f";"PT";"0";"L";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"1_2";"I_ODD";2015;
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"Y40T49";"_T";"_T";"I_ODD";2016;13.5
"ODD11";"11.i1";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2015;
"ODD4";"4.i2";"PT";"0";"L";"FM";"FRANCE";"_Z";"_T";"Y18T64";"_Z";"_Z";"I_ODD";2020;
"ODD4";"4.i1c";"PT";"0";"L";"F";"FRANCE";"SESC2";"_T";"Y15";"_Z";"_Z";"I_ODD";2021;
"ODD1";"1.i1a";"PT";"0";"A";"FM";"FRANCE";"NIVIEMED_S60";"_T";"_T";"11";"_T";"I_ODD";2020;6.4
"ODD8";"8.i8";"PT";"0";"R";"F";"FRANCE";"EMP_AIDE5";"_T";"Y_LT26";"_Z";"_Z";"I_ODD";2018;0.7
"ODD10";"10.i2d";"_Z";"0";"A";"FM";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2018;3.49
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"_Z";"M_cis";"_T";"_Z";"_Z";"I_ODD";2010;3980
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"Y_GE15";"_Z";"_Z";"I_ODD";2012;74.7
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y25T34";"_T";"_Z";"I_ODD";2022;
"ODD3";"3.i3";"P100000";"0";"A";"F";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2011;8
"ODD5";"5.i5b";"PT";"0";"A";"F_X_D976";"FRANCE";"FPT";"F";"_T";"_Z";"_Z";"I_ODD";2014;28
"ODD3";"3.i3";"P100000";"0";"L";"F";"FRANCE";"_Z";"M";"_Z";"_Z";"_Z";"I_ODD";2024;
"ODD10";"10.i5";"PT";"0";"A";"F";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2022;84.8
"ODD2";"2.i2e";"PT";"0";"A";"F";"FRANCE";"_Z";"_T";"_Z";"_Z";"4";"I_ODD";2013;10.2
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y45T54";"_T";"_Z";"I_ODD";2013;
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"_Z";"_T";"_T";"_Z";"_Z";"I_ODD";2016;6245
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y55T64";"_T";"_Z";"I_ODD";2020;
"ODD2";"2.i2a";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y_GE15";"_Z";"_Z";"I_ODD";2016;
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y18T24";"_T";"_Z";"I_ODD";2018;28.8
"ODD8";"8.i6";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"_Z";"_Z";"_Z";"I_ODD";2015;
"ODD4";"4.i1d";"PT";"0";"L";"F";"FRANCE";"SESC4";"_T";"Y15";"_Z";"_Z";"I_ODD";2023;
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO2";"_Z";"_Z";"_Z";"_Z";"I_ODD";2014;200.2
"ODD9";"9.i6c";"XDC";"6";"A";"F";"FRANCE";"OBJ_SOCECO3";"_Z";"_Z";"_Z";"_Z";"I_ODD";2011;1039
"ODD8";"8.i6";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2011;
"ODD4";"4.i2";"PT";"0";"L";"FM";"FRANCE";"_Z";"F";"Y18T64";"_Z";"_Z";"I_ODD";2020;
"ODD3";"3.i6";"_Z";"0";"A";"FM";"FRANCE";"ROUTE_TYP3";"_T";"_T";"_Z";"_Z";"I_ODD";2022;1039
"ODD3";"3.i2";"_Z";"0";"E";"F";"FRANCE";"_Z";"F_cis";"_T";"_Z";"_Z";"I_ODD";2015;1970
"ODD3";"3.i8";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y25T34";"_T";"_Z";"I_ODD";2017;31.5
"ODD3";"3.i3";"P100000";"0";"A";"F";"FRANCE";"_Z";"F";"_Z";"_Z";"_Z";"I_ODD";2017;6
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_T";"_T";"Y18T64";"32";"_Z";"I_ODD";2023;
"ODD3";"3.i8";"PT";"0";"L";"FM";"FRANCE";"_Z";"M";"Y55T64";"_T";"_Z";"I_ODD";2015;
"ODD2";"2.i2b";"PT";"0";"A";"FM";"FRANCE";"_Z";"F";"Y_GE15";"_Z";"_Z";"I_ODD";2014;14.8
"ODD4";"4.i3";"PT";"0";"B";"F";"FRANCE";"NUM_COMP1";"_T";"Y16T74";"_Z";"_Z";"I_ODD";2021;28
